"tick","lot_id","x","y","residential_units","commercial_units","occupied_residential","occupied_commercial","vacant_residential","vacant_commercial","residential_rent","commercial_rent","dist_geometric_center","dist_res_occupancy_centroid","dist_com_occupancy_centroid","total_units","total_occupied","commercial_vacancy_rate","residential_vacancy_rate","distance_bin"
5000,1055,15,27,50,5,50,4,0,1,1.96312598072995,203336.84334998,12,12.375333451894,11.9067908201655,55,54,0.2,0,10
5000,84,4,3,2,9,0,8,2,1,1,27682.1809410376,34,34.5686466299129,34.1688299473288,11,8,0.111111111111111,1,30
5000,1532,12,39,2,11,0,10,2,1,1,120.202732777791,27,27.375333451894,26.9067908201655,13,10,0.0909090909090909,1,25
5000,28,28,1,43,8,40,7,3,1,1.63841144225234,94.8374630318838,27,26.624666548106,27.0932091798345,51,47,0.125,0.0697674418604651,25
5000,577,17,15,5,9,0,7,5,2,1,45.3097097054663,9,9.56864662991286,9.16882994732882,14,7,0.222222222222222,1,5
5000,993,33,25,4,9,1,8,3,1,1,19.2270104904463,17,16.4313533700871,16.8311700526712,13,9,0.111111111111111,0.75,15
5000,488,8,13,4,5,0,4,4,1,1,17.3306896682169,20,20.5686466299129,20.1688299473288,9,4,0.2,1,20
5000,421,21,11,40,5,39,3,1,2,1.33564789514619,9.35679370130063,10,9.624666548106,10.0932091798345,45,42,0.4,0.025,10
5000,418,18,11,1,9,0,8,1,1,1,8.65578969788811,12,12.5686466299129,12.1688299473288,10,8,0.111111111111111,1,10
5000,34,34,1,37,9,37,7,0,2,1.37337927925332,7.69055703605564,33,32.624666548106,33.0932091798345,46,44,0.222222222222222,0,30
5000,650,10,17,2,9,0,8,2,1,1,7.25224789632428,14,14.5686466299129,14.1688299473288,11,8,0.111111111111111,1,10
5000,937,17,24,38,8,33,7,5,1,1.33223549528604,4.13225187926015,7,7.375333451894,6.90679082016554,46,40,0.125,0.131578947368421,5
5000,901,21,23,36,9,36,8,0,1,1.35911032981068,4.07584578703569,3,2.43135337008714,2.83117005267118,45,44,0.111111111111111,0,0
5000,27,27,1,3,13,0,12,3,1,1,3.95540744194948,26,25.624666548106,26.0932091798345,16,12,0.0769230769230769,1,25
5000,1008,8,26,4,12,1,11,3,1,1,3.26345990232152,18,18.375333451894,17.9067908201655,16,12,0.0833333333333333,0.75,15
5000,1173,13,30,2,9,0,8,2,1,1,3.26239326147135,17,17.375333451894,16.9067908201655,11,8,0.111111111111111,1,15
5000,1590,30,40,40,5,40,4,0,1,1.580980127355,2.28842634117772,29,28.4313533700871,28.8311700526712,45,44,0.2,0,25
5000,645,5,17,11,8,4,7,7,1,1,2.1902518477744,19,19.5686466299129,19.1688299473288,19,11,0.125,0.636363636363636,15
5000,1100,20,28,3,9,1,8,2,1,1,1.91840147006797,8,8.375333451894,7.90679082016554,12,9,0.111111111111111,0.666666666666667,5
5000,1156,36,29,28,8,27,7,1,1,1,1.62975307202024,24,23.4313533700871,23.8311700526712,36,34,0.125,0.0357142857142857,20
5000,446,6,12,14,11,12,8,2,3,1,1.55864662441087,23,23.5686466299129,23.1688299473288,25,20,0.272727272727273,0.142857142857143,20
5000,1096,16,28,2,10,1,9,1,1,1,1.49145493066451,12,12.375333451894,11.9067908201655,12,10,0.1,0.5,10
5000,1263,23,32,2,9,0,8,2,1,1,1.40522669697647,14,13.4313533700871,13.8311700526712,11,8,0.111111111111111,1,10
5000,1268,28,32,5,9,1,8,4,1,1,1.2859814912384,19,18.4313533700871,18.8311700526712,14,9,0.111111111111111,0.8,15
5000,1148,28,29,2,9,0,7,2,2,1,1.26690812334821,16,15.4313533700871,15.8311700526712,11,7,0.222222222222222,1,15
