metric,baseline_HEAD,current_modified,delta,delta_pct
cv_sales,0.32309068803752833,0.43013304045611284,0.10704235241858451,33.13074513808058
expansions_count,1.0,1.0,0.0,0.0
failures_logged,,338.0,,
final_emp_rate,0.6548672566371682,0.4632352941176471,-0.19163196251952108,-29.262718600953896
final_pop,113.0,136.0,23.0,20.353982300884958
firm_entries_total,,338.0,,
firm_exits_total,,338.0,,
hires_total,,7369.0,,
immigrants_total,,5608.0,,
layoff_hire_ratio,,0.9914506717329352,,
layoffs_total,,7306.0,,
max_unemp,172.0,230.0,58.0,33.72093023255814
mean_abs_d_sales,5.30626125225045,8.412082416483297,3.1058211642328475,58.53125235617887
mean_emp_rate,0.6285434350551368,0.7885303525929922,0.15998691753785543,25.45359773327696
mean_pop,138.0288,93.4028,-44.62599999999999,-32.33093383409839
mean_sales,195.0392,394.3748,199.3356,102.20283922411495
negative_cash_share,,1.0,,
p95_unemp,92.0,112.0,20.0,21.73913043478261
std_sales,63.0153493222891,169.6336318032714,106.61828248098232,169.1941465494193
