metric,baseline,hold_choice,delta,delta_pct
failures_total,563.0,623.0,60.0,10.657193605683837
final_emp_rate,0.8588957055214724,0.9463087248322147,0.0874130193107423,10.177372962607853
final_pop,163.0,149.0,-14.0,-8.588957055214724
mean_abs_d_over_mean_sales,0.02399662182635144,0.02493688029538382,0.0009402584690323783,3.918295149360778
mean_abs_d_sales,7.545109021804361,7.903180636127225,0.3580716143228644,4.745744737260722
mean_emp_rate,0.813380356886316,0.8023668760073668,-0.011013480878949267,-1.3540382166480804
mean_sales,314.4238,316.9274,2.503599999999949,0.7962501566357092
median_miss_plan_budget_units,-0.043825560111741955,-0.041814007311881195,0.0020115527998607607,-4.589907795204232
negative_cash_share,0.9946714031971581,0.9967897271268058,0.002118323929647725,0.21296720935565522
p99_abs_d_sales,75.03999999999905,67.01999999999953,-8.019999999999527,-10.687633262259633
preferred_inactive_switch_share,0.3045431852221667,0.6390106449592987,0.334467459737132,109.82595440220908
preferred_over_budget_switch_share,0.0672324846064237,0.007827175954915467,-0.05940530865150823,-88.35804447695865
preferred_stockout_switch_share,0.17257447162589448,0.33656856606136504,0.16399409443547056,95.02801479872156
sales_cv,0.33990305549643857,0.32389442624833775,-0.016008629248100814,-4.709763266093543
switch_events_total,6009.0,3194.0,-2815.0,-46.846397071060075
switch_rate_all_purchases,0.012018,0.006388,-0.00563,-46.846397071060075
