metric,no_offset_monthly_planner,with_offset_monthly_planner,delta,delta_pct
final_emp_rate,0.1875,0.8846153846153846,0.6971153846153846,371.79487179487177
final_pop,144.0,182.0,38.0,26.38888888888889
max_abs_d_sales,69.0,308.0,239.0,346.3768115942029
mean_abs_d_sales,4.531506301260252,7.548309661932387,3.016803360672135,66.57396371341547
mean_emp_rate,0.20194597899794056,0.8212651404704217,0.6193191614724811,306.6756587804092
mean_sales,63.4256,319.3552,255.92960000000002,403.5115158547968
p95_abs_d_sales,14.0,22.0,8.0,57.14285714285714
p99_abs_d_sales,21.0,81.01999999999953,60.01999999999953,285.8095238095216
sales_cv,0.32580170554579085,0.3710157482216266,0.04521404267583573,13.87777961447196
