firm_id,founded_tick,exit_tick,lifetime_ticks,censored_alive
1,1,1104,1104,0
2,1,5000,5000,1
3,1,545,545,0
4,1,5000,5000,1
5,1,586,586,0
6,1,409,409,0
7,70,135,66,0
8,80,87,8,0
9,123,125,3,0
10,174,323,150,0
11,222,313,92,0
12,230,232,3,0
13,262,323,62,0
14,410,495,86,0
15,410,987,578,0
16,496,500,5,0
17,509,558,50,0
18,539,541,3,0
19,546,1094,549,0
20,555,556,2,0
21,560,621,62,0
22,587,1198,612,0
23,751,753,3,0
24,783,785,3,0
25,933,936,4,0
26,988,1676,689,0
27,1024,1026,3,0
28,1095,1632,538,0
29,1105,2182,1078,0
30,1170,1175,6,0
31,1196,1201,6,0
32,1199,1827,629,0
33,1220,1222,3,0
34,1260,1333,74,0
35,1297,1302,6,0
36,1302,1312,11,0
37,1360,1368,9,0
38,1579,1583,5,0
39,1630,1636,7,0
40,1633,2183,551,0
41,1677,2289,613,0
42,1776,1853,78,0
43,1801,1861,61,0
44,1814,1816,3,0
45,1828,2613,786,0
46,1829,1834,6,0
47,1873,1877,5,0
48,1893,1898,6,0
49,1960,1965,6,0
50,1976,2033,58,0
51,1976,1979,4,0
52,1990,1992,3,0
53,1998,2124,127,0
54,2073,2158,86,0
55,2183,3302,1120,0
56,2184,2707,524,0
57,2249,2251,3,0
58,2283,2339,57,0
59,2290,2882,593,0
60,2302,2305,4,0
61,2315,2323,9,0
62,2396,2401,6,0
63,2401,2412,12,0
64,2457,2459,3,0
65,2478,2480,3,0
66,2480,2483,4,0
67,2495,2570,76,0
68,2506,2511,6,0
69,2527,2530,4,0
70,2536,2592,57,0
71,2547,2564,18,0
72,2567,2572,6,0
73,2587,2611,25,0
74,2602,2604,3,0
75,2614,3497,884,0
76,2700,2709,10,0
77,2708,3213,506,0
78,2822,2824,3,0
79,2883,3702,820,0
80,2961,3026,66,0
81,3022,3024,3,0
82,3102,3107,6,0
83,3108,3213,106,0
84,3142,3144,3,0
85,3147,3306,160,0
86,3153,3158,6,0
87,3158,3168,11,0
88,3169,3273,105,0
89,3198,3200,3,0
90,3214,3742,529,0
91,3303,4338,1036,0
92,3343,3359,17,0
93,3433,3522,90,0
94,3498,4407,910,0
95,3548,3553,6,0
96,3603,3616,14,0
97,3703,4278,576,0
98,3743,4270,528,0
99,3786,3788,3,0
100,3845,3851,7,0
101,3952,3974,23,0
102,3957,3959,3,0
103,3974,4008,35,0
104,4012,4014,3,0
105,4036,4039,4,0
106,4178,4180,3,0
107,4261,4263,3,0
108,4271,4793,523,0
109,4273,4402,130,0
110,4279,4968,690,0
111,4318,4321,4,0
112,4324,4328,5,0
113,4339,5000,662,1
114,4354,4446,93,0
115,4361,4495,135,0
116,4379,4382,4,0
117,4408,4972,565,0
118,4409,4411,3,0
119,4432,4438,7,0
120,4605,4733,129,0
121,4768,4779,12,0
122,4794,5000,207,1
123,4830,4835,6,0
124,4969,5000,32,1
125,4973,5000,28,1
126,4977,5000,24,1
