failed_firm_id,failed_type,failure_tick,pre_switch_events,unique_dest_firms,top_dest_firm_1,top_dest_firm_1_share,top_dest_type_1,top_dest_type_1_share,fallback_preferred_inactive_share,fallback_preferred_stockout_share,fallback_over_budget_share
220,5,2404,44,1,216,1.0,5,1.0,0.0,0.2727272727272727,0.13636363636363635
222,6,2439,8,1,215,1.0,6,1.0,0.0,0.0,0.0
245,6,2717,35,2,236,0.8,6,1.0,0.17142857142857143,0.0,0.4
252,5,2731,1,1,253,1.0,5,1.0,0.0,1.0,0.0
247,6,2736,37,1,236,1.0,6,1.0,0.13513513513513514,0.02702702702702703,0.08108108108108109
267,6,2868,1,1,263,1.0,6,1.0,0.0,0.0,0.0
246,5,2900,2,1,266,1.0,5,1.0,0.0,0.0,0.0
272,6,2939,45,1,263,1.0,6,1.0,0.06666666666666667,0.022222222222222223,0.13333333333333333
287,6,3002,1,1,263,1.0,6,1.0,0.0,0.0,0.0
307,5,3159,3,1,305,1.0,5,1.0,0.0,0.0,0.3333333333333333
304,6,3163,25,1,296,1.0,6,1.0,0.2,0.04,0.04
310,6,3195,15,1,296,1.0,6,1.0,0.0,0.06666666666666667,0.2
321,5,3250,5,1,305,1.0,5,1.0,0.0,0.4,0.2
325,6,3308,4,1,323,1.0,6,1.0,0.0,0.0,0.25
350,6,3606,27,1,341,1.0,6,1.0,0.25925925925925924,0.2962962962962963,0.0
368,6,3760,4,1,367,1.0,6,1.0,0.0,1.0,0.0
348,5,3779,3,1,371,1.0,5,1.0,0.0,0.0,0.0
375,6,3798,1,1,372,1.0,6,1.0,1.0,0.0,0.0
372,6,3822,37,2,367,0.8648648648648649,6,1.0,0.08108108108108109,0.24324324324324326,0.08108108108108109
367,6,3979,13,2,392,0.6153846153846154,6,1.0,0.0,0.38461538461538464,0.0
394,5,3998,12,1,374,1.0,5,1.0,0.16666666666666666,0.0,0.08333333333333333
390,6,4006,5,2,392,0.6,6,1.0,0.0,0.0,0.0
395,5,4016,11,1,374,1.0,5,1.0,0.0,0.18181818181818182,0.45454545454545453
392,6,4031,11,2,393,0.5454545454545454,6,1.0,0.09090909090909091,0.0,0.0
407,6,4089,7,2,393,0.5714285714285714,6,1.0,0.14285714285714285,0.0,0.0
398,6,4108,51,2,393,0.9411764705882353,6,1.0,0.058823529411764705,0.0392156862745098,0.0392156862745098
393,6,4217,21,2,424,0.9523809523809523,6,1.0,0.0,0.7142857142857143,0.0
424,6,4220,5,1,393,1.0,6,1.0,0.0,0.2,0.2
429,6,4241,1,1,427,1.0,6,1.0,0.0,0.0,0.0
403,5,4272,24,2,434,0.7916666666666666,5,1.0,0.16666666666666666,0.75,0.0
441,5,4297,2,1,436,1.0,5,1.0,0.0,1.0,0.0
443,5,4313,3,1,439,1.0,5,1.0,0.0,0.6666666666666666,0.3333333333333333
436,5,4315,22,5,434,0.5454545454545454,5,1.0,0.0,0.18181818181818182,0.13636363636363635
440,6,4323,49,1,427,1.0,6,1.0,0.061224489795918366,0.061224489795918366,0.30612244897959184
430,6,4328,7,2,440,0.5714285714285714,6,1.0,0.14285714285714285,0.7142857142857143,0.0
434,5,4355,10,1,439,1.0,5,1.0,0.2,0.3,0.0
427,6,4395,24,3,457,0.6666666666666666,6,1.0,0.125,0.6666666666666666,0.0
457,6,4435,33,3,464,0.5454545454545454,6,1.0,0.030303030303030304,0.030303030303030304,0.24242424242424243
456,5,4444,32,2,439,0.6875,5,1.0,0.15625,0.15625,0.03125
466,6,4447,8,2,464,0.75,6,1.0,0.0,0.25,0.5
463,5,4452,25,2,439,0.56,5,1.0,0.16,0.16,0.12
464,6,4502,7,1,461,1.0,6,1.0,0.0,0.2857142857142857,0.0
439,5,4549,22,2,480,0.6818181818181818,5,1.0,0.09090909090909091,0.8181818181818182,0.0
489,5,4592,1,1,482,1.0,5,1.0,0.0,0.0,0.0
461,6,4598,34,4,490,0.8235294117647058,6,1.0,0.029411764705882353,0.11764705882352941,0.058823529411764705
499,6,4639,3,1,490,1.0,6,1.0,0.0,0.3333333333333333,0.3333333333333333
490,6,4660,37,2,492,0.8378378378378378,6,1.0,0.02702702702702703,0.1891891891891892,0.05405405405405406
523,6,4807,19,3,492,0.7368421052631579,6,1.0,0.10526315789473684,0.05263157894736842,0.3684210526315789
514,6,4811,80,3,492,0.6375,6,1.0,0.025,0.1125,0.3625
492,6,4824,81,4,519,0.4074074074074074,6,1.0,0.12345679012345678,0.7037037037037037,0.09876543209876543
538,5,4848,4,2,537,0.75,5,1.0,0.0,0.25,0.5
519,6,4861,3,3,492,0.3333333333333333,6,1.0,0.0,0.6666666666666666,0.0
537,5,4873,21,2,536,0.5238095238095238,5,1.0,0.0,0.047619047619047616,0.2857142857142857
536,5,4923,17,1,522,1.0,5,1.0,0.0,0.11764705882352941,0.11764705882352941
554,6,4948,20,2,533,0.65,6,1.0,0.0,0.0,0.05
530,6,4950,56,2,533,0.8571428571428571,6,1.0,0.0,0.05357142857142857,0.05357142857142857
